Data,Brasil
2020-11-21,1208.22
2020-11-22,689.44
2020-11-23,600.26
2020-11-24,1151.85
2020-11-25,1774.00
2020-11-26,1393.11
2020-11-27,1264.07
2020-11-28,1923.04
2020-11-29,906.22
2020-11-30,782.89
2020-12-01,1885.52
2020-12-02,1846.78
2020-12-03,1867.93
2020-12-04,1736.44
2020-12-05,1600.33
2020-12-06,976.41
2020-12-07,754.48
2020-12-08,1892.15
2020-12-09,1979.74
2020-12-10,1975.81
2020-12-11,2015.85
2020-12-12,1625.93
2020-12-13,808.33
2020-12-14,933.07
2020-12-15,1588.48
2020-12-16,2613.85
2020-12-17,2586.15
2020-12-18,1946.07
2020-12-19,1858.41
2020-12-20,942.41
2020-12-21,926.63
2020-12-22,2044.52
2020-12-23,1729.48
2020-12-24,2225.04
2020-12-25,850.63
2020-12-26,638.74
2020-12-27,684.41
2020-12-28,761.04
2020-12-29,2174.74
2020-12-30,2061.07
2020-12-31,2102.70
2021-01-01,911.30
2021-01-02,586.19
2021-01-03,642.26
2021-01-04,740.96
2021-01-05,2098.07
2021-01-06,2349.26
2021-01-07,3253.44
2021-01-08,1927.22
2021-01-09,2307.04
2021-01-10,1103.41
2021-01-11,956.37
2021-01-12,2371.30
2021-01-13,2255.52
2021-01-14,2509.56
2021-01-15,2562.89
2021-01-16,2280.26
2021-01-17,1223.70
2021-01-18,876.70
2021-01-19,2299.78
2021-01-20,2384.63
2021-01-21,2189.59
2021-01-22,2094.52
2021-01-23,2308.67
2021-01-24,1049.00
2021-01-25,993.19
2021-01-26,2294.93
2021-01-27,2352.59
2021-01-28,2289.30
2021-01-29,2215.78
2021-01-30,2165.26
2021-01-31,1028.00
2021-02-01,910.78
2021-02-02,2003.56
2021-02-03,2074.15
2021-02-04,2106.41
2021-02-05,1884.15
2021-02-06,1875.19
2021-02-07,994.26
2021-02-08,868.11
2021-02-09,1906.89
2021-02-10,2207.48
2021-02-11,2027.48
2021-02-12,1909.11
2021-02-13,1640.70
2021-02-14,917.00
2021-02-15,1192.48
2021-02-16,2047.07
2021-02-17,2102.44
2021-02-18,1921.44
2021-02-19,1890.74
2021-02-20,2128.59
2021-02-21,1075.04
2021-02-22,999.48
2021-02-23,2322.78
2021-02-24,2466.22
2021-02-25,2444.37
2021-02-26,2413.67
2021-02-27,2281.56
2021-02-28,1260.26
2021-03-01,1323.78
2021-03-02,2219.44
2021-03-03,2655.70
2021-03-04,2781.56
2021-03-05,2796.11
2021-03-06,2578.11
2021-03-07,2981.78
2021-03-08,1197.07
2021-03-09,2620.89
2021-03-10,2958.37
2021-03-11,2793.04
2021-03-12,3172.70
2021-03-13,2821.41
2021-03-14,1622.67
2021-03-15,1342.19
2021-03-16,3108.37
2021-03-17,3344.56
2021-03-18,3221.56
2021-03-19,3354.44
2021-03-20,2928.48
2021-03-21,1769.41
2021-03-22,1825.67
2021-03-23,3055.30
2021-03-24,3333.04
2021-03-25,3709.56
2021-03-26,3120.19
2021-03-27,3183.26
2021-03-28,1641.70
2021-03-29,1441.74
2021-03-30,3129.41
2021-03-31,3356.96
2021-04-01,3373.96
2021-04-02,2601.41
2021-04-03,1611.67
2021-04-04,1161.44
2021-04-05,1060.93
2021-04-06,3221.44
2021-04-07,3430.56
2021-04-08,3209.33
2021-04-09,3456.19
2021-04-10,2660.44
2021-04-11,1371.00
2021-04-12,1325.37
2021-04-13,3043.93
2021-04-14,2722.70
